source_row_id,source_subject_id,corridor,source_name,source_status,source_function,priority,fingerprint_id,sha256
S100-PORT-011,ct.source.s100.port.011,Technology & Operating Spine,CrownInsights,Build,"Visual guides, onboarding, tutorials, and SOPs.",P1,ctfp:v1:sha256:cd5b7ca78afbebca0b68b8d79e42524d98db755c8be27703a620e2681593b518,cd5b7ca78afbebca0b68b8d79e42524d98db755c8be27703a620e2681593b518
S100-PORT-012,ct.source.s100.port.012,Technology & Operating Spine,CrownLytics,Active / Expand,Cross-platform analytics and intelligence.,P0,ctfp:v1:sha256:5465cc2c161a2c2f92bd90115205981cfd60ee3a945f6a65d98b8aaeb22fdc35,5465cc2c161a2c2f92bd90115205981cfd60ee3a945f6a65d98b8aaeb22fdc35
S100-PORT-013,ct.source.s100.port.013,Technology & Operating Spine,CrownPulse,Active / Expand,Ecosystem signals and social proof.,P1,ctfp:v1:sha256:0770f6bcf536477c940bc601ed7c6ed8b82f4a166a7a7c3d66f124fcab876627,0770f6bcf536477c940bc601ed7c6ed8b82f4a166a7a7c3d66f124fcab876627
S100-PORT-014,ct.source.s100.port.014,Technology & Operating Spine,ThrivePush,Active / Expand,Permissioned push campaigns and alerts.,P1,ctfp:v1:sha256:f28b60386aa12d64e80b5171398378768cf9b1f591a1adff1ce85cebd7ea758d,f28b60386aa12d64e80b5171398378768cf9b1f591a1adff1ce85cebd7ea758d
S100-PORT-015,ct.source.s100.port.015,Technology & Operating Spine,ThriveMaps,Live / Activate,"Canonical roadmap, feedback, voting, and changelog.",P0,ctfp:v1:sha256:3167c8046d1e24411937cabbb52df9bf985bf04b3abb2cb61f47ef2965c06968,3167c8046d1e24411937cabbb52df9bf985bf04b3abb2cb61f47ef2965c06968
S100-PORT-016,ct.source.s100.port.016,Technology & Operating Spine,Ecosystem Status,Active / Migrate,"Uptime, API, incident, SSL, domain, and server monitoring.",P1,ctfp:v1:sha256:99625b9af187ce244b2d7c156ba1567dbc2b7abf1fe2672aebdc8f3ebcfb6a27,99625b9af187ce244b2d7c156ba1567dbc2b7abf1fe2672aebdc8f3ebcfb6a27
S100-PORT-017,ct.source.s100.port.017,Technology & Operating Spine,ThriveTools,Active,Utility tools family.,P2,ctfp:v1:sha256:ff8c3cb3e03613cdca1890b18c20cd3221149cfe2c4bc79f58aa9ba5ffb32fa7,ff8c3cb3e03613cdca1890b18c20cd3221149cfe2c4bc79f58aa9ba5ffb32fa7
S100-PORT-018,ct.source.s100.port.018,Technology & Operating Spine,ThriveTools SEO,Active,SEO audits and monitoring.,P2,ctfp:v1:sha256:b887c9fd77ee29756d9b971f6d4676c38d0cba3bff3ac15f106e2fb326622de5,b887c9fd77ee29756d9b971f6d4676c38d0cba3bff3ac15f106e2fb326622de5
S100-PORT-019,ct.source.s100.port.019,Technology & Operating Spine,ThriveTools OPT,Live,Image optimization and storage.,P2,ctfp:v1:sha256:8e6e62a7f20a91750b453162d02157a3ae8d6687611096a048411b27d1f33af9,8e6e62a7f20a91750b453162d02157a3ae8d6687611096a048411b27d1f33af9
S100-PORT-020,ct.source.s100.port.020,Technology & Operating Spine,ThriveApps,Active / Build,Rapid app production and future app marketplace.,P1,ctfp:v1:sha256:8ea02cc1fa272cf9f01882f0ad7932e509071a813835d2cfcb5c641c39a705d0,8ea02cc1fa272cf9f01882f0ad7932e509071a813835d2cfcb5c641c39a705d0
S100-PORT-021,ct.source.s100.port.021,Technology & Operating Spine,BrandCards,Active / Revamp,Digital identity and business-card infrastructure.,P2,ctfp:v1:sha256:ea59180329e915ff3359e5e4b2f74e725a0003922422541801eab28eea65a18a,ea59180329e915ff3359e5e4b2f74e725a0003922422541801eab28eea65a18a
S100-PORT-022,ct.source.s100.port.022,Technology & Operating Spine,ThriveKiosks / TapStations,Build,Interactive software and physical phygital hardware.,P2,ctfp:v1:sha256:1cc7a55ab56ffc80e38fd35fddeb3dbaf045872e7204933f118c54f815c29906,1cc7a55ab56ffc80e38fd35fddeb3dbaf045872e7204933f118c54f815c29906
S100-PORT-023,ct.source.s100.port.023,Technology & Operating Spine,NeuralCraft,Build,AI workforce and agent marketplace.,P1,ctfp:v1:sha256:dbce35673df2a02aa5377245467cdffb17cb5fcf995acae43f56eb7ea7d2f579,dbce35673df2a02aa5377245467cdffb17cb5fcf995acae43f56eb7ea7d2f579
S100-PORT-024,ct.source.s100.port.024,Media & Culture,Virality Music,Active / Monetize,"Music, IP, publishing, licensing, and story universes.",P0,ctfp:v1:sha256:33c17c49670683c16ed4f21f41e7d60f0b2205bb584fca4dd31a7bcb121b528c,33c17c49670683c16ed4f21f41e7d60f0b2205bb584fca4dd31a7bcb121b528c
S100-PORT-025,ct.source.s100.port.025,Media & Culture,Melanated Voices,Rebuild,"Audio, podcasts, spoken media, and community voices.",P1,ctfp:v1:sha256:d15649be3f8025bc73e19454b782c944c1454eec9936656a12c687acc804c62b,d15649be3f8025bc73e19454b782c944c1454eec9936656a12c687acc804c62b
S100-PORT-026,ct.source.s100.port.026,Media & Culture,Melanated TV,Active / Revamp,"OTT/VOD, channels, partner content, and short drama.",P1,ctfp:v1:sha256:29b9bf4275d3bd19420b4194c29ffec3cac9096c10022bf0b2056d9c5a5f1328,29b9bf4275d3bd19420b4194c29ffec3cac9096c10022bf0b2056d9c5a5f1328
S100-PORT-027,ct.source.s100.port.027,Media & Culture,Melanated Voices Platform (MVP),Long-term Build,"Unified cross-media discovery, identity, library, and entitlement experience.",P2,ctfp:v1:sha256:6820e4a286a33bb61de6516e4e418d18faa0a470d8c909ee2dc01ea5facd9da5,6820e4a286a33bb61de6516e4e418d18faa0a470d8c909ee2dc01ea5facd9da5
S100-PORT-028,ct.source.s100.port.028,Media & Culture,Melanated Voices TV,Rebuild,Roku/video manifestation of Melanated Voices.,P2,ctfp:v1:sha256:49ece52fe4b63946c64b26a2eba19cff39f1bdd161ac493d5a1c691c33ad8494,49ece52fe4b63946c64b26a2eba19cff39f1bdd161ac493d5a1c691c33ad8494
S100-PORT-029,ct.source.s100.port.029,Media & Culture,Locticians TV,Active / Program,Beauty/wellness community channel and advertising inventory.,P1,ctfp:v1:sha256:894eaf1ba0d6d9ce256762c98d2e1196913817106e917207bcb15dd123927b69,894eaf1ba0d6d9ce256762c98d2e1196913817106e917207bcb15dd123927b69
S100-PORT-030,ct.source.s100.port.030,Media & Culture,The Mane Experience,Active / GTM,Participatory culture-first media network.,P0,ctfp:v1:sha256:7e4f4514ecd65c171613fe6b92ca3c4996098a5b69043f5ab387aacd4aa8b38c,7e4f4514ecd65c171613fe6b92ca3c4996098a5b69043f5ab387aacd4aa8b38c
S100-PORT-031,ct.source.s100.port.031,Media & Culture,The TAME Gallery,Revive,"RSS aggregation, media intelligence, and editorial handoff.",P1,ctfp:v1:sha256:506d3b4fd3df440c900ea6436378975b2bff8b131c4d90ad65daa255142beb89,506d3b4fd3df440c900ea6436378975b2bff8b131c4d90ad65daa255142beb89
S100-PORT-032,ct.source.s100.port.032,Media & Culture,CrownThrive Studios,Build,AI-assisted creative and media production.,P1,ctfp:v1:sha256:44ce091446afcdf86571ff6b183a7f72a4236524aa35ee9dedd843d8eb5dcd7f,44ce091446afcdf86571ff6b183a7f72a4236524aa35ee9dedd843d8eb5dcd7f
S100-PORT-033,ct.source.s100.port.033,Media & Culture,Go Flipbooks,Active / Expand,"Digital libraries, readers, licensing, and entitlements.",P0,ctfp:v1:sha256:19e1ee73bb18cac9351465c7f839f77548d802773e5cd433691a5b420b278676,19e1ee73bb18cac9351465c7f839f77548d802773e5cd433691a5b420b278676
S100-PORT-034,ct.source.s100.port.034,Media & Culture,Melanated Vault,Revamp,Cultural asset marketplace and auctions.,P2,ctfp:v1:sha256:7a8d248fb4d54d89c6a967b4d2d7f0bb72e097699f6d3da3242ad0977940c37f,7a8d248fb4d54d89c6a967b4d2d7f0bb72e097699f6d3da3242ad0977940c37f
S100-PORT-035,ct.source.s100.port.035,Media & Culture,Melanated Stock,Revamp,Culturally aligned stock media marketplace.,P2,ctfp:v1:sha256:57a134d07c756ee0700507a21ebae90da91793d7cb3733d8cabd612a2cce6af0,57a134d07c756ee0700507a21ebae90da91793d7cb3733d8cabd612a2cce6af0
S100-PORT-036,ct.source.s100.port.036,Media & Culture,The Artful Mane Gallery,Active / Curate,Pictorem-hosted fine-art storefront and fulfillment.,P2,ctfp:v1:sha256:5fee586e2d104595eb90550d915d7682020c7ff44fc93b10a2424ebf35d3180d,5fee586e2d104595eb90550d915d7682020c7ff44fc93b10a2424ebf35d3180d
S100-PORT-037,ct.source.s100.port.037,"Beauty, Wellness & Physical",Locticians,Active / Monetize,"Community, directory, professional discovery, and industry network.",P0,ctfp:v1:sha256:00d96d3199b698acf7c36e965c6ed125a3911379b18c9e4bd459eab97631d53c,00d96d3199b698acf7c36e965c6ed125a3911379b18c9e4bd459eab97631d53c
S100-PORT-038,ct.source.s100.port.038,"Beauty, Wellness & Physical",ThriveSeat,Revamp,"Beauty/wellness business operations, booking, staff, and client management.",P0,ctfp:v1:sha256:3b87de8dc1dba96ece70a3e55a277fb096a0a456d45c262736b01b60d48ace2e,3b87de8dc1dba96ece70a3e55a277fb096a0a456d45c262736b01b60d48ace2e
S100-PORT-039,ct.source.s100.port.039,"Beauty, Wellness & Physical",Melanin Magic,Active / Scale,"Haircare, skincare, bath/body, wholesale, and Stylepreneurs.",P0,ctfp:v1:sha256:8d327adb164348633aba8f95b9d3079a048fb73570bb8f0c76f5a533f9ab742b,8d327adb164348633aba8f95b9d3079a048fb73570bb8f0c76f5a533f9ab742b
S100-PORT-040,ct.source.s100.port.040,"Beauty, Wellness & Physical",MM Suites,Pre-development,Physical suite corridor and flagship incubator node.,P2,ctfp:v1:sha256:7240b6e234cf7bd818bcc1039843981ed9051190e3ae3a2f78bfdbdb151921b1,7240b6e234cf7bd818bcc1039843981ed9051190e3ae3a2f78bfdbdb151921b1
S100-PORT-041,ct.source.s100.port.041,Commerce & Brands,Good Shit Only,Active / Monetize,"Digital products, marketplace commerce, and licensed brands.",P0,ctfp:v1:sha256:873e0ccb6adaf62ec08ac4b23333b5148b8f5996b8a93f31f6d4ae4cba134989,873e0ccb6adaf62ec08ac4b23333b5148b8f5996b8a93f31f6d4ae4cba134989
S100-PORT-042,ct.source.s100.port.042,Commerce & Brands,The L Market,Brand / Incubate,Gag-gift sister marketplace to GSO.,P2,ctfp:v1:sha256:c641c6799489e58f7395db0077cbaac0a2f9a9c2c67846a8b01aeb8719364165,c641c6799489e58f7395db0077cbaac0a2f9a9c2c67846a8b01aeb8719364165
S100-PORT-043,ct.source.s100.port.043,Commerce & Brands,ThriveWick,Brand / Incubate,Candles and home fragrance.,P2,ctfp:v1:sha256:0968090e16109a642e21016de354489e9e3b78edc0d44b7edd1f62d867a5b809,0968090e16109a642e21016de354489e9e3b78edc0d44b7edd1f62d867a5b809
S100-PORT-044,ct.source.s100.port.044,Commerce & Brands,Tears of Defeat,Brand / Incubate,Novelty and humor products.,P2,ctfp:v1:sha256:188f434be1b8303e20bdd850612696c3c0f0599d5571cc3b9d0cf033491d612a,188f434be1b8303e20bdd850612696c3c0f0599d5571cc3b9d0cf033491d612a
S100-PORT-045,ct.source.s100.port.045,Commerce & Brands,ThriveThreads,Brand / Incubate,Apparel and lifestyle fashion.,P2,ctfp:v1:sha256:6f552e9d19e4f17913e9c707cc3e405ec3d890af6ae0ff3fb4ffa9930a5204ce,6f552e9d19e4f17913e9c707cc3e405ec3d890af6ae0ff3fb4ffa9930a5204ce
S100-PORT-046,ct.source.s100.port.046,Commerce & Brands,ThriveSip,Brand / Incubate,Beverage and functional drink concepts.,P2,ctfp:v1:sha256:ddfa1591379f120acd635d36e1738ee86a2603d1b75c10098ee91fd9644538df,ddfa1591379f120acd635d36e1738ee86a2603d1b75c10098ee91fd9644538df
S100-PORT-047,ct.source.s100.port.047,Commerce & Brands,XENThrive / Get Kinetic!,Brand / Incubate,Performance/wellness product lanes.,P2,ctfp:v1:sha256:7831d7932ce4992ece8972f219029edb63ab4cd30b3be0160c6a82647c70541d,7831d7932ce4992ece8972f219029edb63ab4cd30b3be0160c6a82647c70541d
S100-PORT-048,ct.source.s100.port.048,Commerce & Brands,MusiqHead Audio,Concept,Audio hardware/technology brand.,P3,ctfp:v1:sha256:6324ea5a010771856d7d42ad0ea0c2c11af22255b188e3dbbc2355db494f1bf3,6324ea5a010771856d7d42ad0ea0c2c11af22255b188e3dbbc2355db494f1bf3
S100-PORT-049,ct.source.s100.port.049,"Education, Talent & Community",CrownThriveU,Active / Revamp,"Courses, certificates, affiliates, experts, and internal IP monetization.",P0,ctfp:v1:sha256:d27c04019ae23ddc3468508030dc9602f08fb3f894a0eba9c995e4f1e863c059,d27c04019ae23ddc3468508030dc9602f08fb3f894a0eba9c995e4f1e863c059
S100-PORT-050,ct.source.s100.port.050,"Education, Talent & Community",ThrivePeer,Active / Revamp,Mentorship and expert development.,P1,ctfp:v1:sha256:25d35ad26785001c9b72c2e694936927fb01cb7811162aed6b919cd1ce162da3,25d35ad26785001c9b72c2e694936927fb01cb7811162aed6b919cd1ce162da3
S100-PORT-051,ct.source.s100.port.051,"Education, Talent & Community",ThriveAlumni,Build,"Alumni, governing bodies, committees, elections, and fundraising.",P1,ctfp:v1:sha256:d0bdd5ef09a0fe7e0e36f10cefb9593f89ef41812dde4cff46db60996e4e7c67,d0bdd5ef09a0fe7e0e36f10cefb9593f89ef41812dde4cff46db60996e4e7c67
S100-PORT-052,ct.source.s100.port.052,"Education, Talent & Community",ThriveArena,Build,"Competitive learning, challenges, leaderboards, and rewards.",P1,ctfp:v1:sha256:e32e1aedabaac559a9fc0ec1f577ffbef89fa041eeeddd60b9fc42b225899ed7,e32e1aedabaac559a9fc0ec1f577ffbef89fa041eeeddd60b9fc42b225899ed7
S100-PORT-053,ct.source.s100.port.053,"Education, Talent & Community",QuizNuggets,Live / Improve,"Quiz creation, publishing, embedding, and competition.",P2,ctfp:v1:sha256:e4ebdf50c16c1811286d2ead130dd6d944c5157c31b213b586375aefb98b631a,e4ebdf50c16c1811286d2ead130dd6d944c5157c31b213b586375aefb98b631a
S100-PORT-054,ct.source.s100.port.054,"Education, Talent & Community",ThriveGather,Active / Expand,"Virtual spaces, co-working, workshops, and live community.",P1,ctfp:v1:sha256:38ce6a825dbf1f23b75db318fe7f06840a71f4d5920dfe95e60dea68239bdb7b,38ce6a825dbf1f23b75db318fe7f06840a71f4d5920dfe95e60dea68239bdb7b
S100-PORT-055,ct.source.s100.port.055,"Education, Talent & Community",CrownConsults,Activate,"Paid, vetted, immediate expert assistance.",P1,ctfp:v1:sha256:45fefe14352b483d58ffd0b608c21dd246082d346fe4fe6b2f258e942a2fc01c,45fefe14352b483d58ffd0b608c21dd246082d346fe4fe6b2f258e942a2fc01c
S100-PORT-056,ct.source.s100.port.056,"Education, Talent & Community",CrownThrive Commons,Private Build,"Gated ecosystem social graph, groups, relationships, and announcements.",P1,ctfp:v1:sha256:d9d3c8423c3199278d56770bd34a7ab710c19ce58fa3689f23f6f9fcbacf88da,d9d3c8423c3199278d56770bd34a7ab710c19ce58fa3689f23f6f9fcbacf88da
S100-PORT-057,ct.source.s100.port.057,"Growth, Advertising & Distribution",AdLuxe Network,Active / Revamp,Advertiser/publisher network and ad serving.,P0,ctfp:v1:sha256:771e12dbd63d3d17ec13268d780d4677efd2b6ef3297558a0462497e35e15ec4,771e12dbd63d3d17ec13268d780d4677efd2b6ef3297558a0462497e35e15ec4
S100-PORT-058,ct.source.s100.port.058,"Growth, Advertising & Distribution",AdLuxe Studio,Build,AI-generated advertising creative and campaign assets.,P0,ctfp:v1:sha256:a7fb244665ab441c3ef2b09325c94f04f72abf2be66ecf0ebc1df952c7cc9414,a7fb244665ab441c3ef2b09325c94f04f72abf2be66ecf0ebc1df952c7cc9414
S100-PORT-059,ct.source.s100.port.059,"Growth, Advertising & Distribution",AdLuxe Places,Build,Digital signage and place-based advertising.,P1,ctfp:v1:sha256:572f2dfefad3d6934b7aaa8ee0e06595be3281c2b1cf6cb560aeccda1690c8f1,572f2dfefad3d6934b7aaa8ee0e06595be3281c2b1cf6cb560aeccda1690c8f1
S100-PORT-060,ct.source.s100.port.060,"Growth, Advertising & Distribution",CrownFluence,Reposition,Creator campaign exchange and influence intelligence.,P1,ctfp:v1:sha256:e6fae32ddbeff03776d486320892015f5e914d3c7e4bfb553c1dc3e1f9b2465a,e6fae32ddbeff03776d486320892015f5e914d3c7e4bfb553c1dc3e1f9b2465a
S100-PORT-061,ct.source.s100.port.061,"Growth, Advertising & Distribution",Crown Affiliates,Active / Expand,Performance referrals and commissions.,P0,ctfp:v1:sha256:4eebcfdbc00ce1489d4628dfe88298368014f233998c47ada5fa8128cb6a8477,4eebcfdbc00ce1489d4628dfe88298368014f233998c47ada5fa8128cb6a8477
S100-PORT-062,ct.source.s100.port.062,"Growth, Advertising & Distribution",Crown Ambassadors,Active / Expand,High-trust brand representation and progression.,P1,ctfp:v1:sha256:e80ff5ca3fd6b1984947e2e535ae86815f29fba88480cf849a0ca4dc48022c6c,e80ff5ca3fd6b1984947e2e535ae86815f29fba88480cf849a0ca4dc48022c6c
S100-PORT-063,ct.source.s100.port.063,"Growth, Advertising & Distribution",ThrivePerks,Activate,"Giveaways, pilots, bounties, ad credits, and promotion.",P2,ctfp:v1:sha256:81b0af7585e27af41899a37c46bb1e7b2a9b8e0a0491e5fa82397237584db895,81b0af7585e27af41899a37c46bb1e7b2a9b8e0a0491e5fa82397237584db895
S100-PORT-064,ct.source.s100.port.064,"Growth, Advertising & Distribution",ThriveTickets,Active / Revamp,Ticket commerce and event validation.,P1,ctfp:v1:sha256:4e156cde3bf1255a8cc6d874a16a4e73545673e0028c30a081bf0c543804c7f5,4e156cde3bf1255a8cc6d874a16a4e73545673e0028c30a081bf0c543804c7f5
S100-PORT-065,ct.source.s100.port.065,"Hospitality, Travel & Experiences",ThriveKiln,Build,Restaurant operations and local hospitality technology.,P2,ctfp:v1:sha256:d5caba3d56cb64af2b8d2c93893f207e8c292478e62629844776ff4e42a66f10,d5caba3d56cb64af2b8d2c93893f207e8c292478e62629844776ff4e42a66f10
S100-PORT-066,ct.source.s100.port.066,"Hospitality, Travel & Experiences",Luxperiences,Revamp,"Premium spaces, venues, rentals, and experiences.",P2,ctfp:v1:sha256:9e94044670ea890879bda3622ce77bbdcfd16f46fdfdfb275e5e7a2560f203ba,9e94044670ea890879bda3622ce77bbdcfd16f46fdfdfb275e5e7a2560f203ba
S100-PORT-067,ct.source.s100.port.067,"Hospitality, Travel & Experiences",ThriveTravels,Open,Culturally aligned travel and group experiences.,P3,ctfp:v1:sha256:cb5a143d15e2e6b7ab52548e811c695393b828206fc6e1988ebf897094bfeb9e,cb5a143d15e2e6b7ab52548e811c695393b828206fc6e1988ebf897094bfeb9e
S100-PORT-068,ct.source.s100.port.068,"Hospitality, Travel & Experiences",Rooted Noir,Active / Cultural Revamp,Culturally aligned wedding planning.,P2,ctfp:v1:sha256:3c3eaa568a51f6e8d6dc46d7cac78c7a54df0baf26d1d18c20c120202e2a56eb,3c3eaa568a51f6e8d6dc46d7cac78c7a54df0baf26d1d18c20c120202e2a56eb
